candidato,id,celda,ubicacion,cita,categoria,veredicto,ocurrencias,justificacion,refs
K-275,,celda-en-evaluacion,sut/backend/src/wallet/crypto/derivation.ts:3,"* depósito Ethereum, siguiendo el path BIP-44 estándar de Ethereum.",,CORRECTO,1,"Path BIP-44 `m/purpose'/coin_type'/account'/change/address_index` con purpose 44' y change 0 = cadena externa (corpus/documentos/bip-0044.mediawiki, Path levels). coin type 60 (Ethereum) lo fija spec/00-fundaciones/activos-y-par-de-trading.md §1; BIP-44 remite el registro a SLIP-0044 (§2.6).",
K-276,,celda-en-evaluacion,sut/backend/src/wallet/crypto/derivation.ts:5,"* Fuente normativa: BIP-32, BIP-44 (coin type 60 / SLIP-44), EIP-55.",,CORRECTO,1,"Checksum EIP-55/ERC-55: Keccak-256 sobre el hex ASCII en minúsculas sin `0x`; nibble ≥ 8 (o > 7) ⇒ mayúscula. Vectores oficiales All caps / All Lower / Normal (corpus/documentos/erc-55.md, Specification, Implementation y Test Cases).",
K-277,,celda-en-evaluacion,sut/backend/src/wallet/crypto/derivation.ts:6,"* Spec del proyecto: HU-06-02 RN-2 (path `m/44'/60'/0'/0/address_index`),",,CORRECTO,1,"Path BIP-44 `m/purpose'/coin_type'/account'/change/address_index` con purpose 44' y change 0 = cadena externa (corpus/documentos/bip-0044.mediawiki, Path levels). coin type 60 (Ethereum) lo fija spec/00-fundaciones/activos-y-par-de-trading.md §1; BIP-44 remite el registro a SLIP-0044 (§2.6).",
K-278,,celda-en-evaluacion,sut/backend/src/wallet/crypto/derivation.ts:7,"* RN-4 (dirección + checksum EIP-55), RN-5 (determinismo / INV-8),",,CORRECTO,1,"Checksum EIP-55/ERC-55: Keccak-256 sobre el hex ASCII en minúsculas sin `0x`; nibble ≥ 8 (o > 7) ⇒ mayúscula. Vectores oficiales All caps / All Lower / Normal (corpus/documentos/erc-55.md, Specification, Implementation y Test Cases).",
K-279,,celda-en-evaluacion,sut/backend/src/wallet/crypto/derivation.ts:9,* y RN-9 (rango no-hardened del `address_index`); HU-06-03 RN-1 y RN-13.,,CORRECTO,1,"BIP-32: I = HMAC-SHA512(key=""Bitcoin seed"", data=S); CKDpriv hardened (`0x00‖ser256(k)‖ser32(i)`) / normal (`serP‖ser32(i)`); si parse256(I_L) ≥ n o k_i = 0, «proceed with the next value for i» (corpus/documentos/bip-0032.mediawiki, Master key generation y Private parent key → private child key).",
K-280,,celda-en-evaluacion,sut/backend/src/wallet/crypto/derivation.ts:13,"import { HARDENED_OFFSET, InvalidChildKeyError, derivePath, publicKeyXY } from './bip32.js';",,CORRECTO,1,"BIP-32: I = HMAC-SHA512(key=""Bitcoin seed"", data=S); CKDpriv hardened (`0x00‖ser256(k)‖ser32(i)`) / normal (`serP‖ser32(i)`); si parse256(I_L) ≥ n o k_i = 0, «proceed with the next value for i» (corpus/documentos/bip-0032.mediawiki, Master key generation y Private parent key → private child key).",
K-281,,celda-en-evaluacion,sut/backend/src/wallet/crypto/derivation.ts:15,"/** Path base BIP-44 de Ethereum, sin el `address_index` (HU-06-02 RN-2). */",,CORRECTO,1,"Path BIP-44 `m/purpose'/coin_type'/account'/change/address_index` con purpose 44' y change 0 = cadena externa (corpus/documentos/bip-0044.mediawiki, Path levels). coin type 60 (Ethereum) lo fija spec/00-fundaciones/activos-y-par-de-trading.md §1; BIP-44 remite el registro a SLIP-0044 (§2.6).",
K-282,,celda-en-evaluacion,sut/backend/src/wallet/crypto/derivation.ts:16,"export const ETHEREUM_BASE_PATH = ""m/44'/60'/0'/0"";",,CORRECTO,1,"Path BIP-44 `m/purpose'/coin_type'/account'/change/address_index` con purpose 44' y change 0 = cadena externa (corpus/documentos/bip-0044.mediawiki, Path levels). coin type 60 (Ethereum) lo fija spec/00-fundaciones/activos-y-par-de-trading.md §1; BIP-44 remite el registro a SLIP-0044 (§2.6).",
K-283,,celda-en-evaluacion,sut/backend/src/wallet/crypto/derivation.ts:19,* Nivel (1-based) que ocupa el `address_index` dentro de `m/44'/60'/0'/0/{address_index}`.,,CORRECTO,1,"Path BIP-44 `m/purpose'/coin_type'/account'/change/address_index` con purpose 44' y change 0 = cadena externa (corpus/documentos/bip-0044.mediawiki, Path levels). coin type 60 (Ethereum) lo fija spec/00-fundaciones/activos-y-par-de-trading.md §1; BIP-44 remite el registro a SLIP-0044 (§2.6).",
K-284,,celda-en-evaluacion,sut/backend/src/wallet/crypto/derivation.ts:20,"* Los niveles 1..4 (`44'`, `60'`, `0'`, `0`) son **fijos** por BIP-44: su cómputo HMAC no",,CORRECTO,1,"Path BIP-44 `m/purpose'/coin_type'/account'/change/address_index` con purpose 44' y change 0 = cadena externa (corpus/documentos/bip-0044.mediawiki, Path levels). coin type 60 (Ethereum) lo fija spec/00-fundaciones/activos-y-par-de-trading.md §1; BIP-44 remite el registro a SLIP-0044 (§2.6).",
K-285,,celda-en-evaluacion,sut/backend/src/wallet/crypto/derivation.ts:25,/** Coin type de Ethereum según SLIP-44 (00-fundaciones/activos-y-par-de-trading §1). */,,CORRECTO,1,"Path BIP-44 `m/purpose'/coin_type'/account'/change/address_index` con purpose 44' y change 0 = cadena externa (corpus/documentos/bip-0044.mediawiki, Path levels). coin type 60 (Ethereum) lo fija spec/00-fundaciones/activos-y-par-de-trading.md §1; BIP-44 remite el registro a SLIP-0044 (§2.6).",
K-286,,celda-en-evaluacion,sut/backend/src/wallet/crypto/derivation.ts:26,export const COIN_TYPE = 60;,,CORRECTO,1,"Path BIP-44 `m/purpose'/coin_type'/account'/change/address_index` con purpose 44' y change 0 = cadena externa (corpus/documentos/bip-0044.mediawiki, Path levels). coin type 60 (Ethereum) lo fija spec/00-fundaciones/activos-y-par-de-trading.md §1; BIP-44 remite el registro a SLIP-0044 (§2.6).",
K-287,,celda-en-evaluacion,sut/backend/src/wallet/crypto/derivation.ts:28,"/** chainId de la red única del proyecto: Sepolia (HU-06-02 RN-7, INV-6). */",,CORRECTO,1,Sepolia chainId 11155111 es constante de spec/00-fundaciones/activos-y-par-de-trading.md §1; no se afirma un chainId distinto ni una red equivocada como Sepolia (C4 no aplica). §2.6.,
K-288,,celda-en-evaluacion,sut/backend/src/wallet/crypto/derivation.ts:29,export const CHAIN_ID = 11_155_111;,,CORRECTO,1,Sepolia chainId 11155111 es constante de spec/00-fundaciones/activos-y-par-de-trading.md §1; no se afirma un chainId distinto ni una red equivocada como Sepolia (C4 no aplica). §2.6.,
K-289,,celda-en-evaluacion,sut/backend/src/wallet/crypto/derivation.ts:31,/** Último índice del espacio **no-hardened** de BIP-32: 2³¹ − 1 (HU-06-02 RN-9). */,,CORRECTO,1,"BIP-32: I = HMAC-SHA512(key=""Bitcoin seed"", data=S); CKDpriv hardened (`0x00‖ser256(k)‖ser32(i)`) / normal (`serP‖ser32(i)`); si parse256(I_L) ≥ n o k_i = 0, «proceed with the next value for i» (corpus/documentos/bip-0032.mediawiki, Master key generation y Private parent key → private child key).",
K-290,,celda-en-evaluacion,sut/backend/src/wallet/crypto/derivation.ts:32,export const MAX_ADDRESS_INDEX = HARDENED_OFFSET - 1;,,CORRECTO,1,"BIP-32: I = HMAC-SHA512(key=""Bitcoin seed"", data=S); CKDpriv hardened (`0x00‖ser256(k)‖ser32(i)`) / normal (`serP‖ser32(i)`); si parse256(I_L) ≥ n o k_i = 0, «proceed with the next value for i» (corpus/documentos/bip-0032.mediawiki, Master key generation y Private parent key → private child key).",
K-291,,celda-en-evaluacion,sut/backend/src/wallet/crypto/derivation.ts:38,readonly derivationPath: string;,,CORRECTO,1,"Keccak-256 / secp256k1 usados como en HU-06-02 RN-4 (dirección = últimos 20 B de Keccak-256(X‖Y)) y BIP-32 (corpus/documentos/bip-0032.mediawiki, curva secp256k1; corpus/documentos/erc-55.md usa Keccak-256). Sin fórmula atribuida de más al estándar. §2.6.",
K-292,,celda-en-evaluacion,sut/backend/src/wallet/crypto/derivation.ts:42,/** Path completo `m/44'/60'/0'/0/{addressIndex}` para un índice ya validado. */,,CORRECTO,1,"Path BIP-44 `m/purpose'/coin_type'/account'/change/address_index` con purpose 44' y change 0 = cadena externa (corpus/documentos/bip-0044.mediawiki, Path levels). coin type 60 (Ethereum) lo fija spec/00-fundaciones/activos-y-par-de-trading.md §1; BIP-44 remite el registro a SLIP-0044 (§2.6).",
K-293,,celda-en-evaluacion,sut/backend/src/wallet/crypto/derivation.ts:43,export function derivationPathFor(addressIndex: number): string {,,CORRECTO,1,"Keccak-256 / secp256k1 usados como en HU-06-02 RN-4 (dirección = últimos 20 B de Keccak-256(X‖Y)) y BIP-32 (corpus/documentos/bip-0032.mediawiki, curva secp256k1; corpus/documentos/erc-55.md usa Keccak-256). Sin fórmula atribuida de más al estándar. §2.6.",
K-294,,celda-en-evaluacion,sut/backend/src/wallet/crypto/derivation.ts:50,"* `>= 2³¹` produciría silenciosamente una derivación hardened, así que se rechaza con",,CORRECTO,1,"BIP-32: I = HMAC-SHA512(key=""Bitcoin seed"", data=S); CKDpriv hardened (`0x00‖ser256(k)‖ser32(i)`) / normal (`serP‖ser32(i)`); si parse256(I_L) ≥ n o k_i = 0, «proceed with the next value for i» (corpus/documentos/bip-0032.mediawiki, Master key generation y Private parent key → private child key).",
K-295,,celda-en-evaluacion,sut/backend/src/wallet/crypto/derivation.ts:63,"message: `address_index debe ser un entero en el rango [0, ${MAX_ADDRESS_INDEX}] (espacio no-hardened de BIP-32).`,",,CORRECTO,1,"BIP-32: I = HMAC-SHA512(key=""Bitcoin seed"", data=S); CKDpriv hardened (`0x00‖ser256(k)‖ser32(i)`) / normal (`serP‖ser32(i)`); si parse256(I_L) ≥ n o k_i = 0, «proceed with the next value for i» (corpus/documentos/bip-0032.mediawiki, Master key generation y Private parent key → private child key).",
K-296,,celda-en-evaluacion,sut/backend/src/wallet/crypto/derivation.ts:66,"'address_index fuera del rango no-hardened de BIP-44.',",,CORRECTO,1,"BIP-32: I = HMAC-SHA512(key=""Bitcoin seed"", data=S); CKDpriv hardened (`0x00‖ser256(k)‖ser32(i)`) / normal (`serP‖ser32(i)`); si parse256(I_L) ≥ n o k_i = 0, «proceed with the next value for i» (corpus/documentos/bip-0032.mediawiki, Master key generation y Private parent key → private child key).",
K-297,,celda-en-evaluacion,sut/backend/src/wallet/crypto/derivation.ts:78,* @throws InvalidChildKeyError si algún paso produce una clave BIP-32 inválida (RN-8);,,CORRECTO,1,"BIP-32: I = HMAC-SHA512(key=""Bitcoin seed"", data=S); CKDpriv hardened (`0x00‖ser256(k)‖ser32(i)`) / normal (`serP‖ser32(i)`); si parse256(I_L) ≥ n o k_i = 0, «proceed with the next value for i» (corpus/documentos/bip-0032.mediawiki, Master key generation y Private parent key → private child key).",
K-298,,celda-en-evaluacion,sut/backend/src/wallet/crypto/derivation.ts:82,const derivationPath = derivationPathFor(addressIndex);,,CORRECTO,1,"Keccak-256 / secp256k1 usados como en HU-06-02 RN-4 (dirección = últimos 20 B de Keccak-256(X‖Y)) y BIP-32 (corpus/documentos/bip-0032.mediawiki, curva secp256k1; corpus/documentos/erc-55.md usa Keccak-256). Sin fórmula atribuida de más al estándar. §2.6.",
K-299,,celda-en-evaluacion,sut/backend/src/wallet/crypto/derivation.ts:83,"const node = derivePath(seed, derivationPath);",,CORRECTO,1,"Keccak-256 / secp256k1 usados como en HU-06-02 RN-4 (dirección = últimos 20 B de Keccak-256(X‖Y)) y BIP-32 (corpus/documentos/bip-0032.mediawiki, curva secp256k1; corpus/documentos/erc-55.md usa Keccak-256). Sin fórmula atribuida de más al estándar. §2.6.",
K-300,,celda-en-evaluacion,sut/backend/src/wallet/crypto/derivation.ts:88,"derivationPath,",,CORRECTO,1,"Keccak-256 / secp256k1 usados como en HU-06-02 RN-4 (dirección = últimos 20 B de Keccak-256(X‖Y)) y BIP-32 (corpus/documentos/bip-0032.mediawiki, curva secp256k1; corpus/documentos/erc-55.md usa Keccak-256). Sin fórmula atribuida de más al estándar. §2.6.",
K-301,,celda-en-evaluacion,sut/backend/src/wallet/crypto/derivation.ts:94,* Deriva desde `startIndex` avanzando al índice siguiente cada vez que BIP-32 señaliza una,,CORRECTO,1,"BIP-32: I = HMAC-SHA512(key=""Bitcoin seed"", data=S); CKDpriv hardened (`0x00‖ser256(k)‖ser32(i)`) / normal (`serP‖ser32(i)`); si parse256(I_L) ≥ n o k_i = 0, «proceed with the next value for i» (corpus/documentos/bip-0032.mediawiki, Master key generation y Private parent key → private child key).",
K-302,,celda-en-evaluacion,sut/backend/src/wallet/crypto/derivation.ts:100,* @throws AppError `INTERNAL_ERROR` si se agota el espacio no-hardened (HU-06-03 RN-13).,,CORRECTO,1,"BIP-32: I = HMAC-SHA512(key=""Bitcoin seed"", data=S); CKDpriv hardened (`0x00‖ser256(k)‖ser32(i)`) / normal (`serP‖ser32(i)`); si parse256(I_L) ≥ n o k_i = 0, «proceed with the next value for i» (corpus/documentos/bip-0032.mediawiki, Master key generation y Private parent key → private child key).",
K-303,,celda-en-evaluacion,sut/backend/src/wallet/crypto/derivation.ts:109,"// BIP-32: «one should proceed with the next value for **i**», donde `i` es el índice",,CORRECTO,1,"BIP-32: I = HMAC-SHA512(key=""Bitcoin seed"", data=S); CKDpriv hardened (`0x00‖ser256(k)‖ser32(i)`) / normal (`serP‖ser32(i)`); si parse256(I_L) ≥ n o k_i = 0, «proceed with the next value for i» (corpus/documentos/bip-0032.mediawiki, Master key generation y Private parent key → private child key).",
K-304,,celda-en-evaluacion,sut/backend/src/wallet/crypto/derivation.ts:120,"// BIP-44, su entrada HMAC no depende del `address_index` y reintentar reproduciría el",,CORRECTO,1,"Path BIP-44 `m/purpose'/coin_type'/account'/change/address_index` con purpose 44' y change 0 = cadena externa (corpus/documentos/bip-0044.mediawiki, Path levels). coin type 60 (Ethereum) lo fija spec/00-fundaciones/activos-y-par-de-trading.md §1; BIP-44 remite el registro a SLIP-0044 (§2.6).",
K-305,,celda-en-evaluacion,sut/backend/src/wallet/crypto/derivation.ts:125,`Derivación BIP-44 imposible: el nivel fijo ${error.depth ?? '?'} del path ` +,,CORRECTO,1,"Path BIP-44 `m/purpose'/coin_type'/account'/change/address_index` con purpose 44' y change 0 = cadena externa (corpus/documentos/bip-0044.mediawiki, Path levels). coin type 60 (Ethereum) lo fija spec/00-fundaciones/activos-y-par-de-trading.md §1; BIP-44 remite el registro a SLIP-0044 (§2.6).",
K-306,,celda-en-evaluacion,sut/backend/src/wallet/crypto/derivation.ts:126,"`${ETHEREUM_BASE_PATH} produce una clave BIP-32 inválida con este seed.`,",,CORRECTO,1,"BIP-32: I = HMAC-SHA512(key=""Bitcoin seed"", data=S); CKDpriv hardened (`0x00‖ser256(k)‖ser32(i)`) / normal (`serP‖ser32(i)`); si parse256(I_L) ≥ n o k_i = 0, «proceed with the next value for i» (corpus/documentos/bip-0032.mediawiki, Master key generation y Private parent key → private child key).",
K-307,,celda-en-evaluacion,sut/backend/src/wallet/crypto/derivation.ts:135,"'Espacio de address_index agotado: no hay índices no-hardened disponibles.',",,CORRECTO,1,"BIP-32: I = HMAC-SHA512(key=""Bitcoin seed"", data=S); CKDpriv hardened (`0x00‖ser256(k)‖ser32(i)`) / normal (`serP‖ser32(i)`); si parse256(I_L) ≥ n o k_i = 0, «proceed with the next value for i» (corpus/documentos/bip-0032.mediawiki, Master key generation y Private parent key → private child key).",
K-308,,celda-en-evaluacion,sut/backend/src/wallet/crypto/derivation.ts:147,"return derivePath(seed, derivationPathFor(addressIndex)).privateKey;",,CORRECTO,1,"Keccak-256 / secp256k1 usados como en HU-06-02 RN-4 (dirección = últimos 20 B de Keccak-256(X‖Y)) y BIP-32 (corpus/documentos/bip-0032.mediawiki, curva secp256k1; corpus/documentos/erc-55.md usa Keccak-256). Sin fórmula atribuida de más al estándar. §2.6.",
K-309,,celda-en-evaluacion,sut/backend/src/wallet/crypto/primitives.ts:2,* Envoltorio de las primitivas criptográficas de bajo nivel usadas por BIP-32.,,CORRECTO,1,"BIP-32: I = HMAC-SHA512(key=""Bitcoin seed"", data=S); CKDpriv hardened (`0x00‖ser256(k)‖ser32(i)`) / normal (`serP‖ser32(i)`); si parse256(I_L) ≥ n o k_i = 0, «proceed with the next value for i» (corpus/documentos/bip-0032.mediawiki, Master key generation y Private parent key → private child key).",
K-310,,celda-en-evaluacion,sut/backend/src/wallet/crypto/primitives.ts:9,* Contrato para el resto del módulo: el código de BIP-32 debe invocar SIEMPRE,,CORRECTO,1,"BIP-32: I = HMAC-SHA512(key=""Bitcoin seed"", data=S); CKDpriv hardened (`0x00‖ser256(k)‖ser32(i)`) / normal (`serP‖ser32(i)`); si parse256(I_L) ≥ n o k_i = 0, «proceed with the next value for i» (corpus/documentos/bip-0032.mediawiki, Master key generation y Private parent key → private child key).",
K-311,,celda-en-evaluacion,sut/backend/src/wallet/crypto/primitives.ts:19,"/** HMAC-SHA512 (RFC 4231), la PRF de BIP-32 (HU-06-02 RN-1 y RN-3). */",,CORRECTO,1,"BIP-32: I = HMAC-SHA512(key=""Bitcoin seed"", data=S); CKDpriv hardened (`0x00‖ser256(k)‖ser32(i)`) / normal (`serP‖ser32(i)`); si parse256(I_L) ≥ n o k_i = 0, «proceed with the next value for i» (corpus/documentos/bip-0032.mediawiki, Master key generation y Private parent key → private child key).",
K-312,,celda-en-evaluacion,sut/backend/src/wallet/crypto/wordlist.ts:2,"* Wordlist BIP-39 en inglés (2048 palabras), vendorizado en el repositorio.",,CORRECTO,1,"BIP-39: ENT 128–256, checksum SHA-256 ENT/32, wordlist inglés 2048, PBKDF2-HMAC-SHA512 2048 iter, seed 64 B, NFKD (corpus/documentos/bip-0039.mediawiki «Generating the mnemonic» y «From mnemonic to seed»; wordlist corpus/documentos/bip-0039-wordlist-english.txt, SHA-256 2f5eed53…24dbda). 24 palabras = política HU-06-01 RN-1, no exclusividad del estándar (§2.6).",
K-313,,celda-en-evaluacion,sut/backend/src/wallet/crypto/wordlist.ts:4,"* Fuente normativa: BIP-39, sección «Wordlists» (wordlist inglés oficial).",,CORRECTO,1,"BIP-39: ENT 128–256, checksum SHA-256 ENT/32, wordlist inglés 2048, PBKDF2-HMAC-SHA512 2048 iter, seed 64 B, NFKD (corpus/documentos/bip-0039.mediawiki «Generating the mnemonic» y «From mnemonic to seed»; wordlist corpus/documentos/bip-0039-wordlist-english.txt, SHA-256 2f5eed53…24dbda). 24 palabras = política HU-06-01 RN-1, no exclusividad del estándar (§2.6).",
K-314,,celda-en-evaluacion,sut/backend/src/wallet/crypto/wordlist.ts:5,* Spec: HU-06-01 RN-1 (mnemonic de 24 palabras del wordlist inglés de 2048 palabras),,CORRECTO,1,"BIP-39: ENT 128–256, checksum SHA-256 ENT/32, wordlist inglés 2048, PBKDF2-HMAC-SHA512 2048 iter, seed 64 B, NFKD (corpus/documentos/bip-0039.mediawiki «Generating the mnemonic» y «From mnemonic to seed»; wordlist corpus/documentos/bip-0039-wordlist-english.txt, SHA-256 2f5eed53…24dbda). 24 palabras = política HU-06-01 RN-1, no exclusividad del estándar (§2.6).",
K-315,,celda-en-evaluacion,sut/backend/src/wallet/crypto/wordlist.ts:6,* y RN-2.b (toda palabra del mnemonic debe pertenecer a este wordlist).,,CORRECTO,1,"BIP-39: ENT 128–256, checksum SHA-256 ENT/32, wordlist inglés 2048, PBKDF2-HMAC-SHA512 2048 iter, seed 64 B, NFKD (corpus/documentos/bip-0039.mediawiki «Generating the mnemonic» y «From mnemonic to seed»; wordlist corpus/documentos/bip-0039-wordlist-english.txt, SHA-256 2f5eed53…24dbda). 24 palabras = política HU-06-01 RN-1, no exclusividad del estándar (§2.6).",
K-316,,celda-en-evaluacion,sut/backend/src/wallet/crypto/wordlist.ts:13,"* El wordlist está ordenado alfabéticamente, lo que permite búsqueda por índice O(1)",,CORRECTO,1,"BIP-39: ENT 128–256, checksum SHA-256 ENT/32, wordlist inglés 2048, PBKDF2-HMAC-SHA512 2048 iter, seed 64 B, NFKD (corpus/documentos/bip-0039.mediawiki «Generating the mnemonic» y «From mnemonic to seed»; wordlist corpus/documentos/bip-0039-wordlist-english.txt, SHA-256 2f5eed53…24dbda). 24 palabras = política HU-06-01 RN-1, no exclusividad del estándar (§2.6).",
K-317,,celda-en-evaluacion,sut/backend/src/wallet/crypto/wordlist.ts:14,* vía el mapa derivado `WORDLIST_INDEX`.,,CORRECTO,1,"BIP-39: ENT 128–256, checksum SHA-256 ENT/32, wordlist inglés 2048, PBKDF2-HMAC-SHA512 2048 iter, seed 64 B, NFKD (corpus/documentos/bip-0039.mediawiki «Generating the mnemonic» y «From mnemonic to seed»; wordlist corpus/documentos/bip-0039-wordlist-english.txt, SHA-256 2f5eed53…24dbda). 24 palabras = política HU-06-01 RN-1, no exclusividad del estándar (§2.6).",
K-318,,celda-en-evaluacion,sut/backend/src/wallet/crypto/wordlist.ts:16,export const ENGLISH_WORDLIST: readonly string[] = [,,CORRECTO,1,"BIP-39: ENT 128–256, checksum SHA-256 ENT/32, wordlist inglés 2048, PBKDF2-HMAC-SHA512 2048 iter, seed 64 B, NFKD (corpus/documentos/bip-0039.mediawiki «Generating the mnemonic» y «From mnemonic to seed»; wordlist corpus/documentos/bip-0039-wordlist-english.txt, SHA-256 2f5eed53…24dbda). 24 palabras = política HU-06-01 RN-1, no exclusividad del estándar (§2.6).",
K-319,,celda-en-evaluacion,sut/backend/src/wallet/crypto/wordlist.ts:275,/** Cantidad de palabras del wordlist BIP-39 (fijada por el estándar). */,,CORRECTO,1,"BIP-39: ENT 128–256, checksum SHA-256 ENT/32, wordlist inglés 2048, PBKDF2-HMAC-SHA512 2048 iter, seed 64 B, NFKD (corpus/documentos/bip-0039.mediawiki «Generating the mnemonic» y «From mnemonic to seed»; wordlist corpus/documentos/bip-0039-wordlist-english.txt, SHA-256 2f5eed53…24dbda). 24 palabras = política HU-06-01 RN-1, no exclusividad del estándar (§2.6).",
K-320,,celda-en-evaluacion,sut/backend/src/wallet/crypto/wordlist.ts:276,export const WORDLIST_SIZE = 2048;,,CORRECTO,1,"BIP-39: ENT 128–256, checksum SHA-256 ENT/32, wordlist inglés 2048, PBKDF2-HMAC-SHA512 2048 iter, seed 64 B, NFKD (corpus/documentos/bip-0039.mediawiki «Generating the mnemonic» y «From mnemonic to seed»; wordlist corpus/documentos/bip-0039-wordlist-english.txt, SHA-256 2f5eed53…24dbda). 24 palabras = política HU-06-01 RN-1, no exclusividad del estándar (§2.6).",
K-321,,celda-en-evaluacion,sut/backend/src/wallet/crypto/wordlist.ts:279,"export const WORDLIST_INDEX: ReadonlyMap<string, number> = new Map(",,CORRECTO,1,"BIP-39: ENT 128–256, checksum SHA-256 ENT/32, wordlist inglés 2048, PBKDF2-HMAC-SHA512 2048 iter, seed 64 B, NFKD (corpus/documentos/bip-0039.mediawiki «Generating the mnemonic» y «From mnemonic to seed»; wordlist corpus/documentos/bip-0039-wordlist-english.txt, SHA-256 2f5eed53…24dbda). 24 palabras = política HU-06-01 RN-1, no exclusividad del estándar (§2.6).",
K-322,,celda-en-evaluacion,sut/backend/src/wallet/crypto/wordlist.ts:280,"ENGLISH_WORDLIST.map((word, index) => [word, index]),",,CORRECTO,1,"BIP-39: ENT 128–256, checksum SHA-256 ENT/32, wordlist inglés 2048, PBKDF2-HMAC-SHA512 2048 iter, seed 64 B, NFKD (corpus/documentos/bip-0039.mediawiki «Generating the mnemonic» y «From mnemonic to seed»; wordlist corpus/documentos/bip-0039-wordlist-english.txt, SHA-256 2f5eed53…24dbda). 24 palabras = política HU-06-01 RN-1, no exclusividad del estándar (§2.6).",
K-323,,celda-en-evaluacion,sut/backend/src/wallet/deposit-address-service.ts:5,"*   pueden originarse en un índice que produzca una clave BIP-32 inválida (~2⁻¹²⁷), caso en",,CORRECTO,1,"BIP-32: I = HMAC-SHA512(key=""Bitcoin seed"", data=S); CKDpriv hardened (`0x00‖ser256(k)‖ser32(i)`) / normal (`serP‖ser32(i)`); si parse256(I_L) ≥ n o k_i = 0, «proceed with the next value for i» (corpus/documentos/bip-0032.mediawiki, Master key generation y Private parent key → private child key).",
K-324,,celda-en-evaluacion,sut/backend/src/wallet/deposit-address-service.ts:7,"* - RN-3: una sola dirección por cuenta, válida para ETH y USDC (misma EOA en Sepolia).",,CORRECTO,1,Sepolia chainId 11155111 es constante de spec/00-fundaciones/activos-y-par-de-trading.md §1; no se afirma un chainId distinto ni una red equivocada como Sepolia (C4 no aplica). §2.6.,
K-325,,celda-en-evaluacion,sut/backend/src/wallet/deposit-address-service.ts:15,"import { CHAIN_ID, NETWORK_NAME } from '../config/index.js';",,CORRECTO,1,Sepolia chainId 11155111 es constante de spec/00-fundaciones/activos-y-par-de-trading.md §1; no se afirma un chainId distinto ni una red equivocada como Sepolia (C4 no aplica). §2.6.,
K-326,,celda-en-evaluacion,sut/backend/src/wallet/deposit-address-service.ts:18,import { deriveNextValidAccount } from './crypto/derivation.js';,,CORRECTO,1,"Keccak-256 / secp256k1 usados como en HU-06-02 RN-4 (dirección = últimos 20 B de Keccak-256(X‖Y)) y BIP-32 (corpus/documentos/bip-0032.mediawiki, curva secp256k1; corpus/documentos/erc-55.md usa Keccak-256). Sin fórmula atribuida de más al estándar. §2.6.",
K-327,,celda-en-evaluacion,sut/backend/src/wallet/deposit-address-service.ts:25,derivationPath: string;,,CORRECTO,1,"Keccak-256 / secp256k1 usados como en HU-06-02 RN-4 (dirección = últimos 20 B de Keccak-256(X‖Y)) y BIP-32 (corpus/documentos/bip-0032.mediawiki, curva secp256k1; corpus/documentos/erc-55.md usa Keccak-256). Sin fórmula atribuida de más al estándar. §2.6.",
K-328,,celda-en-evaluacion,sut/backend/src/wallet/deposit-address-service.ts:27,chainId: string;,,CORRECTO,1,Sepolia chainId 11155111 es constante de spec/00-fundaciones/activos-y-par-de-trading.md §1; no se afirma un chainId distinto ni una red equivocada como Sepolia (C4 no aplica). §2.6.,
K-329,,celda-en-evaluacion,sut/backend/src/wallet/deposit-address-service.ts:42,"derivation_path AS derivationPath, network, chain_id AS chainId,",,CORRECTO,1,Sepolia chainId 11155111 es constante de spec/00-fundaciones/activos-y-par-de-trading.md §1; no se afirma un chainId distinto ni una red equivocada como Sepolia (C4 no aplica). §2.6.,
K-330,,celda-en-evaluacion,sut/backend/src/wallet/deposit-address-service.ts:54,"derivation_path AS derivationPath, network, chain_id AS chainId,",,CORRECTO,1,Sepolia chainId 11155111 es constante de spec/00-fundaciones/activos-y-par-de-trading.md §1; no se afirma un chainId distinto ni una red equivocada como Sepolia (C4 no aplica). §2.6.,
K-331,,celda-en-evaluacion,sut/backend/src/wallet/deposit-address-service.ts:99,// Los índices intermedios descartados por producir una clave BIP-32 inválida quedan,,CORRECTO,1,"BIP-32: I = HMAC-SHA512(key=""Bitcoin seed"", data=S); CKDpriv hardened (`0x00‖ser256(k)‖ser32(i)`) / normal (`serP‖ser32(i)`); si parse256(I_L) ≥ n o k_i = 0, «proceed with the next value for i» (corpus/documentos/bip-0032.mediawiki, Master key generation y Private parent key → private child key).",
K-332,,celda-en-evaluacion,sut/backend/src/wallet/deposit-address-service.ts:105,"VALUES (?, 'INVALID_BIP32_CHILD_KEY', ?)`,",,CORRECTO,1,"BIP-32: I = HMAC-SHA512(key=""Bitcoin seed"", data=S); CKDpriv hardened (`0x00‖ser256(k)‖ser32(i)`) / normal (`serP‖ser32(i)`); si parse256(I_L) ≥ n o k_i = 0, «proceed with the next value for i» (corpus/documentos/bip-0032.mediawiki, Master key generation y Private parent key → private child key).",
